# m_LQ [GeV] 	σ (NLO) [pb] 	δ_stat 	δ_scaleUp (%) 	δ_scaleDown (%) 	δ_PDFUp (%) 	δ_PDFDown (%)
1710 	5.565e-05 	3.1e-07 	13.2 	15.0 	15.2 	15.2
1720 	5.229e-05 	3.0e-07 	13.2 	15.1 	15.3 	15.3
1730 	4.952e-05 	2.6e-07 	13.1 	15.0 	15.5 	15.5
1740 	4.649e-05 	2.5e-07 	13.2 	15.0 	15.5 	15.5
1750 	4.382e-05 	2.4e-07 	13.2 	15.1 	15.7 	15.7
1760 	4.125e-05 	2.2e-07 	12.9 	15.0 	15.8 	15.8
1770 	3.897e-05 	2.4e-07 	13.6 	15.3 	15.9 	15.9
1780 	3.703e-05 	1.9e-07 	13.0 	15.0 	16.1 	16.1
1790 	3.446e-05 	1.8e-07 	13.3 	15.1 	16.2 	16.2
1800 	3.288e-05 	1.9e-07 	13.5 	15.2 	16.4 	16.4
1810 	3.096e-05 	1.7e-07 	13.4 	15.2 	16.4 	16.4
1820 	2.892e-05 	1.6e-07 	13.1 	15.1 	16.5 	16.5
1830 	2.732e-05 	1.5e-07 	13.6 	15.3 	16.7 	16.7
1840 	2.570e-05 	1.4e-07 	13.4 	15.2 	16.9 	16.9
1850 	2.439e-05 	1.3e-07 	13.6 	15.3 	17.0 	17.0
1860 	2.315e-05 	1.4e-07 	13.9 	15.5 	17.2 	17.2
1870 	2.176e-05 	1.2e-07 	13.4 	15.3 	17.3 	17.3
1880 	2.041e-05 	1.1e-07 	13.7 	15.4 	17.5 	17.5
1890 	1.939e-05 	1.1e-07 	13.8 	15.5 	17.5 	17.5
1900 	1.828e-05 	9.5e-08 	13.5 	15.3 	17.7 	17.7
1910 	1.740e-05 	9.3e-08 	13.8 	15.5 	17.8 	17.8
1920 	1.639e-05 	8.5e-08 	13.7 	15.4 	18.0 	18.0
1930 	1.537e-05 	7.9e-08 	13.6 	15.4 	18.2 	18.2
1940 	1.455e-05 	7.9e-08 	13.8 	15.5 	18.3 	18.3
1950 	1.376e-05 	7.1e-08 	14.1 	15.6 	18.6 	18.6
1960 	1.298e-05 	6.7e-08 	13.8 	15.5 	18.6 	18.6
1970 	1.222e-05 	6.5e-08 	13.9 	15.6 	18.8 	18.8
1980 	1.157e-05 	6.2e-08 	13.9 	15.6 	19.1 	19.1
1990 	1.093e-05 	6.3e-08 	13.9 	15.6 	19.0 	19.0
2000 	1.042e-05 	6.4e-08 	14.3 	15.8 	19.4 	19.4
2010 	9.700e-06 	5.1e-08 	14.4 	15.8 	19.5 	19.5
2020 	9.199e-06 	4.8e-08 	14.3 	15.8 	19.6 	19.6
2030 	8.707e-06 	4.5e-08 	14.0 	15.7 	19.7 	19.7
2040 	8.174e-06 	4.8e-08 	14.0 	15.7 	20.0 	20.0
2050 	7.690e-06 	4.3e-08 	14.1 	15.7 	20.1 	20.1
2060 	7.306e-06 	4.0e-08 	14.2 	15.8 	20.3 	20.3
2070 	6.972e-06 	3.2e-08 	14.2 	15.7 	20.6 	20.6
2080 	6.526e-06 	3.5e-08 	13.8 	15.6 	20.7 	20.7
2090 	6.177e-06 	3.4e-08 	14.4 	15.9 	20.9 	20.9
2100 	5.865e-06 	3.9e-08 	14.5 	15.9 	21.0 	21.0
2110 	5.532e-06 	3.2e-08 	14.3 	15.9 	21.2 	21.2
2120 	5.219e-06 	2.8e-08 	14.3 	15.8 	21.5 	21.5
2130 	4.913e-06 	2.6e-08 	14.3 	15.8 	21.6 	21.6
2140 	4.669e-06 	2.6e-08 	14.6 	16.0 	22.0 	22.0
2150 	4.401e-06 	2.4e-08 	14.6 	16.0 	21.9 	21.9
2160 	4.138e-06 	2.2e-08 	14.2 	15.8 	22.4 	22.4
2170 	3.919e-06 	2.3e-08 	14.6 	16.0 	22.4 	22.4
2180 	3.720e-06 	2.1e-08 	14.5 	16.0 	22.5 	22.5
2190 	3.521e-06 	2.0e-08 	14.6 	16.0 	22.9 	22.9
2200 	3.286e-06 	1.7e-08 	14.5 	16.0 	23.1 	23.1
2210 	3.131e-06 	1.7e-08 	14.6 	16.0 	23.3 	23.3
2220 	2.936e-06 	1.6e-08 	14.7 	16.1 	23.5 	23.5
2230 	2.775e-06 	1.6e-08 	14.6 	16.1 	23.6 	23.6
2240 	2.649e-06 	1.5e-08 	14.7 	16.1 	24.0 	24.0
2250 	2.491e-06 	1.4e-08 	15.0 	16.2 	24.3 	24.3
2260 	2.355e-06 	1.4e-08 	14.9 	16.2 	24.5 	24.5
2270 	2.225e-06 	1.2e-08 	14.9 	16.2 	24.7 	24.7
2280 	2.107e-06 	1.1e-08 	14.8 	16.2 	25.2 	25.2
2290 	1.989e-06 	1.1e-08 	14.9 	16.2 	25.3 	25.3
2300 	1.861e-06 	1.0e-08 	14.8 	16.2 	25.6 	25.6
2310 	1.768e-06 	1.0e-08 	14.8 	16.2 	26.0 	26.0
2320 	1.674e-06 	9.3e-09 	15.0 	16.3 	26.2 	26.2
2330 	1.595e-06 	8.8e-09 	15.1 	16.3 	26.5 	26.5
2340 	1.503e-06 	8.5e-09 	15.3 	16.4 	27.1 	27.1
2350 	1.418e-06 	7.8e-09 	14.8 	16.2 	26.9 	26.9
2360 	1.336e-06 	7.5e-09 	15.2 	16.4 	27.4 	27.4
2370 	1.268e-06 	7.1e-09 	15.0 	16.3 	27.7 	27.7
2380 	1.203e-06 	6.9e-09 	15.2 	16.4 	28.0 	28.0
2390 	1.130e-06 	6.3e-09 	15.2 	16.4 	28.1 	28.1
2400 	1.060e-06 	6.0e-09 	15.0 	16.3 	28.7 	28.7
2410 	1.018e-06 	5.7e-09 	15.3 	16.5 	28.8 	28.8
2420 	9.541e-07 	5.4e-09 	15.4 	16.5 	29.5 	29.5
2430 	9.103e-07 	4.9e-09 	15.2 	16.5 	29.7 	29.7
2440 	8.495e-07 	4.7e-09 	15.0 	16.4 	30.3 	30.3
2450 	8.014e-07 	4.5e-09 	15.0 	16.3 	30.6 	30.6
2460 	7.557e-07 	4.5e-09 	15.5 	16.6 	30.7 	30.7
2470 	7.208e-07 	4.0e-09 	15.3 	16.5 	31.2 	31.2
2480 	6.784e-07 	3.8e-09 	15.4 	16.5 	31.6 	31.6
2490 	6.485e-07 	3.8e-09 	15.3 	16.5 	32.0 	32.0
2500 	6.150e-07 	3.8e-09 	16.0 	16.8 	32.5 	32.5
2510 	5.764e-07 	3.6e-09 	15.3 	16.5 	33.0 	33.0
2520 	5.447e-07 	3.0e-09 	15.1 	16.4 	33.6 	33.6
2530 	5.209e-07 	2.9e-09 	15.6 	16.7 	34.3 	34.3
2540 	4.910e-07 	2.7e-09 	15.4 	16.6 	34.3 	34.3
2550 	4.584e-07 	3.0e-09 	15.5 	16.6 	34.8 	34.8
2560 	4.352e-07 	2.5e-09 	15.5 	16.6 	35.4 	35.4
2570 	4.087e-07 	2.4e-09 	15.6 	16.7 	36.5 	36.5
2580 	3.897e-07 	2.2e-09 	15.7 	16.7 	36.1 	36.1
2590 	3.697e-07 	2.3e-09 	15.9 	16.8 	36.6 	36.6
2600 	3.470e-07 	2.0e-09 	15.6 	16.7 	37.3 	37.3
2610 	3.270e-07 	1.9e-09 	15.6 	16.7 	39.2 	39.2
2620 	3.109e-07 	1.8e-09 	15.8 	16.8 	39.0 	39.0
2630 	2.926e-07 	1.7e-09 	15.5 	16.7 	40.0 	40.0
2640 	2.754e-07 	1.6e-09 	15.6 	16.7 	40.5 	40.5
2650 	2.619e-07 	1.5e-09 	15.6 	16.7 	40.9 	40.9
2660 	2.491e-07 	1.7e-09 	16.1 	16.9 	42.0 	42.0
2670 	2.337e-07 	1.3e-09 	15.6 	16.7 	42.5 	42.5
2680 	2.236e-07 	1.2e-09 	15.8 	16.8 	43.0 	43.0
2690 	2.103e-07 	1.2e-09 	16.0 	16.9 	44.0 	44.0
2700 	1.990e-07 	1.2e-09 	15.9 	16.8 	44.6 	44.6
2710 	1.858e-07 	1.2e-09 	15.8 	16.8 	45.3 	45.3
2720 	1.770e-07 	1.0e-09 	15.9 	16.8 	45.9 	45.9
2730 	1.672e-07 	9.5e-10 	15.7 	16.7 	47.4 	47.4
2740 	1.574e-07 	8.7e-10 	15.7 	16.7 	47.6 	47.6
2750 	1.474e-07 	8.6e-10 	15.7 	16.7 	48.8 	48.8
2760 	1.401e-07 	7.9e-10 	15.8 	16.8 	49.5 	49.5
2770 	1.325e-07 	9.5e-10 	16.2 	16.9 	49.7 	49.7
2780 	1.251e-07 	7.1e-10 	16.0 	16.9 	52.0 	52.0
2790 	1.194e-07 	6.8e-10 	15.8 	16.8 	52.7 	52.7
2800 	1.122e-07 	6.5e-10 	15.9 	16.8 	54.9 	54.9
2810 	1.073e-07 	6.4e-10 	16.1 	16.9 	54.7 	54.7
2820 	1.007e-07 	5.7e-10 	16.0 	16.9 	55.5 	55.5
2830 	9.517e-08 	5.5e-10 	16.1 	16.9 	56.7 	56.7
2840 	8.980e-08 	5.1e-10 	16.0 	16.8 	58.7 	58.7
2850 	8.482e-08 	4.9e-10 	16.1 	16.9 	58.9 	58.9
2860 	8.062e-08 	4.7e-10 	15.9 	16.8 	61.3 	61.3
2870 	7.604e-08 	3.8e-10 	16.1 	16.9 	62.3 	62.3
2880 	7.138e-08 	3.6e-10 	16.0 	16.8 	63.4 	63.4
2890 	6.906e-08 	4.1e-10 	16.0 	16.8 	64.3 	64.3
2900 	6.403e-08 	3.7e-10 	16.0 	16.8 	66.4 	66.4
2910 	6.143e-08 	3.6e-10 	16.3 	17.0 	67.0 	67.0
2920 	5.739e-08 	3.3e-10 	16.0 	16.8 	69.1 	69.1
2930 	5.423e-08 	3.2e-10 	16.0 	16.8 	70.8 	70.8
2940 	5.121e-08 	3.0e-10 	15.9 	16.8 	72.3 	72.3
2950 	4.917e-08 	2.9e-10 	16.2 	16.9 	73.3 	73.3
2960 	4.613e-08 	2.6e-10 	15.9 	16.8 	75.6 	75.6
2970 	4.333e-08 	2.5e-10 	15.8 	16.7 	78.0 	78.0
2980 	4.079e-08 	2.4e-10 	15.8 	16.7 	79.4 	79.4
2990 	3.916e-08 	2.2e-10 	15.9 	16.7 	81.7 	81.7
3000 	3.698e-08 	2.4e-10 	16.2 	16.8 	83.3 	83.3
3500 	2.565e-09 	1.7e-11 	14.4 	15.5 	312.8 	312.8
4000 	2.426e-10 	1.2e-12 	13.4 	14.8 	3092.0 	3092.0
