### ZJet_amcatnlo_Inc
 #id                        variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
  42                             sT_eejj        300.0000            +inf               -               -       155130.6023        13565.1312          0.5251      3.3647e-02      3.5186e-02      2.9684e-03
  43                       sT_eejj_bkgCR        300.0000            +inf               -               -       155130.6023        13565.1312          1.0000      0.0000e+00      3.5186e-02      2.9684e-03
  44                             Pt_e1e2         70.0000            +inf               -               -        10177.9889         4334.2318      6.5609e-02      2.6683e-02      2.3085e-03      9.8142e-04
  45                              M_e1e2         50.0000            +inf               -               -        10177.9889         4334.2318          1.0000      0.0000e+00      2.3085e-03      9.8142e-04
  46                        M_e1e2_bkgCR         50.0000            +inf               -               -        10177.9889         4334.2318          1.0000      0.0000e+00      2.3085e-03      9.8142e-04
  47                        preselection            -inf            +inf               -               -        10177.9889         4334.2318          1.0000      0.0000e+00      2.3085e-03      9.8142e-04
  48                         sT_eejj_opt            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  49                          M_e1e2_opt            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  50                         Mej_min_opt            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  51                       sT_eejj_LQ300        475.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  52                        M_e1e2_LQ300        225.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  53                      min_M_ej_LQ300        235.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  54                       sT_eejj_LQ400        625.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  55                        M_e1e2_LQ400        235.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  56                      min_M_ej_LQ400        330.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  57                       sT_eejj_LQ500        770.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  58                        M_e1e2_LQ500        250.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  59                      min_M_ej_LQ500        420.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  60                       sT_eejj_LQ600        905.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  61                        M_e1e2_LQ600        265.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  62                      min_M_ej_LQ600        500.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  63                       sT_eejj_LQ700       1040.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  64                        M_e1e2_LQ700        280.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  65                      min_M_ej_LQ700        575.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  66                       sT_eejj_LQ800       1170.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  67                        M_e1e2_LQ800        295.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  68                      min_M_ej_LQ800        640.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  69                       sT_eejj_LQ900       1295.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  70                        M_e1e2_LQ900        315.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  71                      min_M_ej_LQ900        700.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  72                      sT_eejj_LQ1000       1415.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  73                       M_e1e2_LQ1000        330.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  74                     min_M_ej_LQ1000        750.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  75                      sT_eejj_LQ1100       1530.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  76                       M_e1e2_LQ1100        350.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  77                     min_M_ej_LQ1100        790.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  78                      sT_eejj_LQ1200       1585.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  79                       M_e1e2_LQ1200        360.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  80                     min_M_ej_LQ1200        805.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  81                      sT_eejj_LQ1300       1585.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
